B21001B_030E,B21001B_030M,B21001B_031E,B21001B_031M,B21001B_032E,B21001B_032M,B21001B_033E,B21001B_033M,GEO_ID,B21001B_001E,B21001B_001M,B21001B_002E,B21001B_002M,B21001B_003E,B21001B_003M,B21001B_004E,B21001B_004M,B21001B_005E,B21001B_005M,B21001B_006E,B21001B_006M,B21001B_007E,B21001B_007M,B21001B_008E,B21001B_008M,B21001B_009E,B21001B_009M,B21001B_010E,B21001B_010M,B21001B_011E,B21001B_011M,B21001B_012E,B21001B_012M,B21001B_013E,B21001B_013M,B21001B_014E,B21001B_014M,B21001B_015E,B21001B_015M,B21001B_016E,B21001B_016M,B21001B_017E,B21001B_017M,B21001B_018E,B21001B_018M,B21001B_019E,B21001B_019M,B21001B_020E,B21001B_020M,B21001B_021E,B21001B_021M,B21001B_022E,B21001B_022M,B21001B_023E,B21001B_023M,B21001B_024E,B21001B_024M,B21001B_025E,B21001B_025M,B21001B_026E,B21001B_026M,B21001B_027E,B21001B_027M,B21001B_028E,B21001B_028M,B21001B_029E,B21001B_029M,B21001B_030EA,B21001B_030MA,B21001B_031MA,B21001B_031EA,B21001B_032EA,B21001B_032MA,B21001B_033MA,B21001B_033EA,NAME,B21001B_001EA,B21001B_001MA,B21001B_002MA,B21001B_002EA,B21001B_003MA,B21001B_003EA,B21001B_004MA,B21001B_004EA,B21001B_005MA,B21001B_005EA,B21001B_006MA,B21001B_006EA,B21001B_007EA,B21001B_007MA,B21001B_008MA,B21001B_008EA,B21001B_009EA,B21001B_009MA,B21001B_010MA,B21001B_010EA,B21001B_011EA,B21001B_011MA,B21001B_012EA,B21001B_012MA,B21001B_013EA,B21001B_013MA,B21001B_014EA,B21001B_014MA,B21001B_015EA,B21001B_015MA,B21001B_016MA,B21001B_016EA,B21001B_017MA,B21001B_017EA,B21001B_018EA,B21001B_018MA,B21001B_019EA,B21001B_019MA,B21001B_020EA,B21001B_020MA,B21001B_021MA,B21001B_021EA,B21001B_022MA,B21001B_022EA,B21001B_023MA,B21001B_023EA,B21001B_024EA,B21001B_024MA,B21001B_025EA,B21001B_025MA,B21001B_026MA,B21001B_026EA,B21001B_027MA,B21001B_027EA,B21001B_028MA,B21001B_028EA,B21001B_029MA,B21001B_029EA,state
7925,700,5676,467,13,25,5663,470,0400000US40,199363,2434,96578,2065,37413,1820,2152,745,35261,1821,34291,1253,6302,978,27989,1381,14458,641,4858,873,9600,827,6624,587,3407,612,3217,521,3792,486,1945,480,1847,423,102785,2001,38449,1888,888,454,37561,1868,34987,1302,746,450,34241,1298,15533,771,713,393,14820,820,8140,670,215,171,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1662,323,1203,281,0,200,1203,281,0400000US41,52810,2226,29627,1690,10291,1230,74,121,10217,1216,12247,1082,1534,721,10713,1092,4447,754,1019,675,3428,672,1350,442,437,266,913,409,1292,410,797,342,495,331,23183,1300,9722,987,87,108,9635,1020,7610,795,670,484,6940,870,2919,523,103,125,2816,517,1729,346,67,118,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
47924,1259,40371,1006,270,184,40101,1012,0400000US42,1037978,7249,488716,5280,186392,3347,3153,1167,183239,3494,178192,3153,19547,2353,158645,3277,69373,1732,16428,1645,52945,2219,33668,1170,12021,1183,21647,1402,21091,903,11558,1195,9533,1016,549262,3969,188265,3082,904,536,187361,3170,188897,2250,3594,1059,185303,2581,83363,1270,1990,721,81373,1512,48366,1234,442,315,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
1357,197,1075,182,0,210,1075,182,0400000US44,47719,3366,23185,2085,9487,1555,231,254,9256,1524,8756,1179,550,412,8206,1144,3078,418,321,248,2757,352,1475,371,166,164,1309,376,389,291,92,148,297,217,24534,1891,11099,1297,55,99,11044,1288,8095,893,92,119,8003,878,2908,356,20,33,2888,367,1357,197,0,210,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
50209,1224,35727,976,145,143,35582,981,0400000US45,974550,3917,443737,2852,158561,2157,5863,1761,152698,2620,155074,2367,23252,2888,131822,3240,72286,1025,20231,1924,52055,2131,38045,1524,13061,1350,24984,1583,19771,1304,7968,939,11803,1518,530813,2525,172001,2428,1972,711,170029,2525,184457,2167,6267,1229,178190,2445,87901,750,2279,794,85622,977,50727,1097,518,317,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
34206,1232,24629,1287,49,80,24580,1279,0400000US47,799749,4553,367704,3197,142878,2995,4846,1815,138032,3262,131871,2471,16683,2469,115188,2906,54786,1676,16388,1840,38398,2162,25943,1151,9364,1267,16579,1572,12226,849,5473,726,6753,1025,432045,2749,149117,2487,2529,1076,146588,2536,155846,2002,4619,1156,151227,2032,67832,1577,1361,608,66471,1711,34621,1221,415,224,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
89658,2189,62449,1685,548,310,61901,1706,0400000US48,2280229,8775,1078624,5854,410346,4913,16891,2944,393455,5887,411184,4794,60622,4251,350562,5467,152310,2401,41218,3151,111092,3584,70350,1985,27578,2189,42772,2316,34434,1573,15553,1437,18881,1805,1201605,6449,420580,5186,6755,1572,413825,5233,448444,3844,15887,2413,432557,4207,179718,2281,5875,1388,173843,2688,90414,2150,756,422,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
322,293,254,205,50,81,204,214,0400000US49,19796,1351,11553,984,4138,839,209,208,3929,880,5475,1011,703,443,4772,1017,1059,485,428,366,631,354,374,276,78,137,296,229,507,451,150,192,357,408,8243,1096,4409,1173,0,185,4409,1173,2509,979,0,185,2509,979,749,542,0,185,749,542,322,293,0,185,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
55033,1583,42979,1450,386,286,42593,1358,0400000US51,1187545,7846,550604,5171,194650,3904,12019,1962,182631,4617,204270,3375,42923,3469,161347,4820,84102,1745,26754,1894,57348,2441,44853,1667,17978,1495,26875,1655,22729,1481,10831,1280,11898,1315,636941,4513,205137,4132,5705,1487,199432,4184,232122,3442,16234,2072,215888,3876,100488,2045,4135,849,96353,2252,56215,1561,1182,484,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
5484,751,3699,567,0,198,3699,567,0400000US53,185787,4602,100924,3208,37542,2401,2602,1015,34940,2258,40180,1884,9290,1650,30890,1908,14834,991,5059,1092,9775,1082,5390,376,2949,517,2441,537,2978,587,1969,642,1009,458,84863,2782,32791,1445,975,583,31816,1510,31285,1829,1620,829,29665,1840,11508,966,324,234,11184,1007,5580,730,96,157,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
1514,592,2701,821,38,62,2663,820,0400000US54,49511,2450,27258,1809,10105,1401,22,39,10083,1403,10468,1425,2494,915,7974,1151,3892,688,1604,388,2288,626,1488,499,732,350,756,354,1305,391,665,282,640,316,22253,1461,7302,1063,32,64,7270,1066,5689,1070,509,267,5180,1009,5011,959,254,245,4757,961,1550,592,36,68,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
8471,601,5490,367,67,95,5423,362,0400000US55,243914,3307,117310,2301,50299,1914,714,439,49585,1974,40791,1473,5350,1092,35441,1639,16411,975,3639,777,12772,1051,6626,638,2173,564,4453,631,3183,319,832,276,2351,380,126604,1867,49288,1566,585,362,48703,1580,45549,1431,1230,524,44319,1545,17778,741,143,120,17635,742,8499,605,28,45,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
15449,1925,11860,1402,113,182,11747,1384,0400000US72,226233,9648,109452,5839,30430,3212,133,167,30297,3196,39110,2758,1526,589,37584,2628,18246,2088,1448,591,16798,2018,13207,1780,1125,523,12082,1633,8459,1244,2693,675,5766,1050,116781,6254,31087,3431,133,166,30954,3431,39902,2809,40,70,39862,2799,18449,1815,0,225,18449,1815,15483,1929,34,53,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
